"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Hoekwierde, Kimwierde en Zandwierde";"Almere                                  ";1575;995;105;475
"De Velden";"Almere                                  ";1515;1195;115;205
"De Velden Noord";"Almere                                  ";525;375;55;95
"De Velden Zuid";"Almere                                  ";990;820;55;115
"Overgooi";"Almere                                  ";630;385;65;180
"Overgooi (brt)";"Almere                                  ";630;385;60;180
"Waterlandse Tuinen, Windhoek en Schapenb";"Almere                                  ";0;0;0;0
"Cirkelbos";"Almere                                  ";0;0;0;0
"De Laren";"Almere                                  ";1145;695;55;390
"De Laren Noord";"Almere                                  ";720;480;35;205
"De Laren Zuid";"Almere                                  ";425;220;20;190
"De Steiger";"Almere                                  ";70;35;20;20
"De Steiger (brt)";"Almere                                  ";70;35;20;20
"Stichtsekant";"Almere                                  ";0;0;0;0
"Stichtsekant (brt)";"Almere                                  ";0;0;0;0
"Overig Almere Haven";"Almere                                  ";10;10;0;0
"Overig Almere Haven Oost";"Almere                                  ";5;5;0;0
"Overig Almere Haven West";"Almere                                  ";0;0;0;0
"Centrum Almere Stad";"Almere                                  ";6280;2010;1290;2985
"Centrum Stad Noord";"Almere                                  ";1300;230;710;360
"Centrum Stad Oost";"Almere                                  ";1115;365;115;635
"Centrum Stad Zuidoost";"Almere                                  ";655;270;75;315
"Centrum Stad Zuidwest";"Almere                                  ";1170;445;175;550
"Centrum Stad West";"Almere                                  ";2030;700;210;1125
"Filmwijk";"Almere                                  ";10425;5255;875;4300
"Filmwijk Noord";"Almere                                  ";1360;575;100;685
"Filmwijk Bouwrai Noord";"Almere                                  ";1365;515;90;755
"Filmwijk Bouwrai Zuid";"Almere                                  ";1555;965;180;415
"Filmwijk Midden";"Almere                                  ";1955;1120;210;625
"Filmwijk Zuid-noord van Walt Disneyplts.";"Almere                                  ";2380;1265;175;935
"Filmwijk Zuid-zuid van Walt Disneyplts.";"Almere                                  ";1800;805;125;870
"LumiÞrepark";"Almere                                  ";0;0;0;0
"Laterna Magikapark";"Almere                                  ";5;5;0;0
"Danswijk";"Almere                                  ";5640;2470;500;2675
"Danswijk Noordwest";"Almere                                  ";1640;735;95;815
"Danswijk Noordoost";"Almere                                  ";2180;905;230;1045
"Danswijk Zuidoost";"Almere                                  ";1170;540;100;535
"Danswijk Zuidwest";"Almere                                  ";640;290;70;285
"Parkwijk";"Almere                                  ";5460;2995;390;2080
"Parkwijk Noordwest";"Almere                                  ";1760;875;105;780
"Parkwijk Noordoost";"Almere                                  ";1880;970;130;780
"Parkwijk Zuidoost";"Almere                                  ";1225;705;110;410
"Parkwijk Zuidwest";"Almere                                  ";600;440;40;110
"Ebenezer Howardpark";"Almere                                  ";0;0;0;0
"Verzetswijk";"Almere                                  ";3460;1850;260;1355
"Verzetswijk Oost";"Almere                                  ";2095;1045;150;900
"Verzetswijk West";"Almere                                  ";1360;805;105;450
"Hannie Schaftpark/Bos der Onverzettelijk";"Almere                                  ";0;0;0;0
"Waterwijk";"Almere                                  ";7410;4290;695;2430
"Waterwijk Noord";"Almere                                  ";1465;805;100;555
"Waterwijk Oost";"Almere                                  ";1560;795;190;575
"Waterwijk Zuid";"Almere                                  ";990;615;65;310
"Waterwijk Midden";"Almere                                  ";1750;1065;155;530
"Waterwijk West";"Almere                                  ";1620;980;180;450
"Bedrijventerrein Gietersplaats";"Almere                                  ";30;20;0;5
"Tussen de Vaarten Noord";"Almere                                  ";6030;2505;410;3110
"Tussen de Vaarten N.- Noord";"Almere                                  ";1895;1000;145;755
"Tussen de Vaarten N.- Oost";"Almere                                  ";1970;835;145;990
"Tussen de Vaarten N.- West";"Almere                                  ";1510;580;100;830
"Sportpark Fanny Blankers Koen";"Almere                                  ";650;90;25;535
"Tussen de Vaarten Zuid";"Almere                                  ";9915;4560;745;4605
"Tussen de Vaarten Z.- Noordwest";"Almere                                  ";830;465;40;325
"Tussen de Vaarten Z.- Noordoost";"Almere                                  ";2150;985;155;1010
"Tussen de Vaarten Z.- Midden oost";"Almere                                  ";1460;705;130;620
"Tussen de Vaarten Z.- Zuidoost";"Almere                                  ";1505;720;105;680
"Tussen de Vaarten Z.- Zuidwest";"Almere                                  ";2280;895;175;1210
"Tussen de Vaarten Z.- Midden west";"Almere                                  ";1680;790;140;755
"Bedrijventerrein Het Atelier";"Almere                                  ";10;5;0;0
"Sallandsebos";"Almere                                  ";0;0;0;0
"Staatsliedenwijk";"Almere                                  ";2440;755;215;1470
"Staatsliedenwijk Oost";"Almere                                  ";915;275;70;565
"Staatsliedenwijk Midden";"Almere                                  ";835;250;60;530
"Staatsliedenwijk West";"Almere                                  ";685;230;80;380
"Kruidenwijk";"Almere                                  ";7935;4140;635;3160
"Kruidenwijk Noordwest";"Almere                                  ";1030;645;80;295
"Kruidenwijk Noord- midden";"Almere                                  ";1555;910;115;530
"Kruidenwijk Noordoost";"Almere                                  ";1860;850;150;860
"Kruidenwijk Midden-oost";"Almere                                  ";1210;430;80;705
"Kruidenwijk Zuid";"Almere                                  ";805;500;85;225
"Kruidenwijk Midden-west";"Almere                                  ";1355;735;115;510
"Bedrijventerrein Frezersplaats";"Almere                                  ";115;80;10;35
"Rie Mastenbroeksportpark";"Almere                                  ";0;0;0;0
"Koningin Beatrixpark";"Almere                                  ";0;0;0;0
"Stedenwijk";"Almere                                  ";10340;4195;825;5315
"Stedenwijk Noord";"Almere                                  ";2110;610;95;1405
"Stedenwijk Midden-noord";"Almere                                  ";1330;485;100;755
"Stedenwijk Midden-oost";"Almere                                  ";2830;1135;225;1470
"Stedenwijk Zuid";"Almere                                  ";2195;1040;205;950
"Stedenwijk Midden-west";"Almere                                  ";1865;920;200;740
"Bedrijvensterrein Draaiersplaats";"Almere                                  ";5;0;0;0
"De Korver Sportpark en Annapark";"Almere                                  ";0;0;0;0
"Dr J.M. den Uylpark";"Almere                                  ";0;0;0;0
"Muziekwijk Noord";"Almere                                  ";11110;6135;1105;3860
"Muziekwijk N.-Noordwest";"Almere                                  ";1190;680;105;400
"Muziekwijk N.-Noord";"Almere                                  ";1615;1080;120;415
"Muziekwijk N.-Noordoost";"Almere                                  ";470;300;50;120
"Muziekwijk N.-Midden";"Almere                                  ";1790;1005;175;600
"Muziekwijk N.-Oost";"Almere                                  ";1180;525;75;580
"Muziekwijk N.-Zuidoost";"Almere                                  ";1815;700;275;845
"Muziekwijk N.-Zuidwest";"Almere                                  ";1315;755;120;435
"Muziekwijk N.-West";"Almere                                  ";1670;1035;180;460
"Bedrijventerrein Josephine Bakerstraat";"Almere                                  ";60;45;5;10
"Klein Brandt Sportpark";"Almere                                  ";0;0;0;0
"Muziekwijk Zuid";"Almere                                  ";6260;3215;500;2545
"Muziekwijk Z.-Noord";"Almere                                  ";1805;745;125;930
"Muziekwijk Z.-Oost";"Almere                                  ";3000;1815;235;950
"Muziekwijk Z.-West";"Almere                                  ";1335;590;125;620
"Bedrijventerrein Felsersplaats";"Almere                                  ";120;60;25;40
"Literatuurwijk";"Almere                                  ";9695;4185;705;4805
"Literatuurwijk Noordwest";"Almere                                  ";2030;750;130;1150
"Literatuurwijk Noordoost";"Almere                                  ";1525;580;100;840
"Literatuurwijk Midden-oost";"Almere                                  ";1825;825;150;850
"Literatuurwijk Zuid";"Almere                                  ";2095;1150;180;770
"Literatuurwijk Midden-west";"Almere                                  ";2055;815;125;1115
"Bedrijventerrein De Binderij";"Almere                                  ";130;35;20;75
"Bedrijventerrein De Uitgeverij";"Almere                                  ";30;20;0;5
"Noorderplassen";"Almere                                  ";8050;4630;720;2695
"Noorderplassen Oost";"Almere                                  ";715;555;55;105
"Noorderplassen W.- Noord";"Almere                                  ";1265;825;80;355
"Noorderplassen W.-Oost";"Almere                                  ";2220;1130;205;890
"Noorderplassen W.-Zuid";"Almere                                  ";2215;1120;250;850
"Noorderplassen W.-West";"Almere                                  ";1635;1005;125;505
"Hortus";"Almere                                  ";245;175;10;60
"Hortus (brt)";"Almere                                  ";245;175;10;60
"Randstad";"Almere                                  ";15;10;0;5
"Randstad Oost";"Almere                                  ";10;5;0;0
"Randstad Zuid";"Almere                                  ";0;0;0;0
"Randstad West";"Almere                                  ";5;5;0;5
"Markerkant";"Almere                                  ";45;5;5;40
"Markerkant Noord";"Almere                                  ";0;5;0;0
"Markerkant Zuid";"Almere                                  ";45;5;0;40
"Hollandsekant";"Almere                                  ";0;0;0;0
"Hollandsekant (brt)";"Almere                                  ";0;0;0;0
"Gooisekant";"Almere                                  ";155;15;140;10
"Gooisekant Oost";"Almere                                  ";160;10;135;10
"Gooisekant West";"Almere                                  ";0;0;0;0
"Veluwsekant";"Almere                                  ";5;0;5;0
